"symbol","company_name","challenge_name","ticker","exchange","quote_currency","currency","quote_scale","sector","industry","challenge_sector","market_cap","market_cap_currency","market_cap_date","market_cap_date_basis","market_cap_precision","retrieved_date","listing_status","flags","notes","alternative_symbols","source_row","quote_url","listing_source_url","classification_source_url","market_cap_source_url","supplemental_source_url"
"TGT","Target Corporation","Target Corp","TGT","NYSE","USD","USD","1","Consumer Defensive","Discount Stores","Consommation discrétionnaire","70270615552","USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","493","https://finance.yahoo.com/quote/TGT/","https://finance.yahoo.com/quote/TGT/","https://finance.yahoo.com/quote/TGT/","https://finance.yahoo.com/quote/TGT/",""
"TEF.MC","Telefónica, S.A.","TELEFONICA S.A.","TEF","Bolsa de Madrid","EUR","EUR","1","Communication Services","Telecom Services","Services publics","20863938560","EUR","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","494","https://finance.yahoo.com/quote/TEF.MC/","https://finance.yahoo.com/quote/TEF.MC/","https://finance.yahoo.com/quote/TEF.MC/","https://finance.yahoo.com/quote/TEF.MC/",""
"TEP.PA","Teleperformance SE","TELEPERFORMANCE","TEP","Euronext Paris","EUR","EUR","1","Industrials","Specialty Business Services","Industrie","4191940096","EUR","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","495","https://finance.yahoo.com/quote/TEP.PA/","https://finance.yahoo.com/quote/TEP.PA/","https://finance.yahoo.com/quote/TEP.PA/","https://finance.yahoo.com/quote/TEP.PA/",""
"TELIA.ST","Telia Company AB (publ)","TELIA COMPANY AB","TELIA","Nasdaq Stockholm","SEK","SEK","1","Communication Services","Telecom Services","Services publics","183900000000","SEK","2026-09-15","quote date shown by market-cap source","rounded source display","2026-09-16","company matched to selected lookup listing","rounded-cap","","","496","https://stockanalysis.com/quote/sto/TELIA/","https://query2.finance.yahoo.com/v8/finance/chart/TELIA.ST?interval=1d&range=1d","https://query2.finance.yahoo.com/v1/finance/search?q=TELIA+COMPANY+AB&quotesCount=8&newsCount=0","https://stockanalysis.com/quote/sto/TELIA/",""
"TER","Teradyne, Inc.","TERADYNE","TER","Nasdaq Global Select Market","USD","USD","1","Technology","Semiconductor Equipment & Materials","IT","53335646208","USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","497","https://finance.yahoo.com/quote/TER/","https://finance.yahoo.com/quote/TER/","https://finance.yahoo.com/quote/TER/","https://finance.yahoo.com/quote/TER/",""
"WULF","TeraWulf Inc.","TeraWulf","WULF","Nasdaq Capital Market","USD","USD","1","Financial Services","Capital Markets","Autres","7679128064","USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","498","https://finance.yahoo.com/quote/WULF/","https://finance.yahoo.com/quote/WULF/","https://finance.yahoo.com/quote/WULF/","https://finance.yahoo.com/quote/WULF/",""
"TSLA","Tesla, Inc.","Tesla","TSLA","Nasdaq Global Select Market","USD","USD","1","Consumer Cyclical","Auto Manufacturers","Consommation discrétionnaire","1414253903872","USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","499","https://finance.yahoo.com/quote/TSLA/","https://finance.yahoo.com/quote/TSLA/","https://finance.yahoo.com/quote/TSLA/","https://finance.yahoo.com/quote/TSLA/",""
"TESB.BR","Tessenderlo Group NV","TESSENDERLO GROUP","TESB","Euronext Brussels","EUR","EUR","1","Basic Materials","Agricultural Inputs","Matériaux","1240000000","EUR","2026-09-16","retrieval date of daily exchange list","rounded source display","2026-09-16","company matched to selected lookup listing","rounded-cap","","","500","https://finance.yahoo.com/quote/TESB.BR/","https://finance.yahoo.com/quote/TESB.BR/","https://finance.yahoo.com/quote/TESB.BR/","https://stockanalysis.com/list/euronext-brussels/",""
"TFG.AS","Tetragon Financial Group Limited","TETRAGON FINANCIAL GROUP","TFG","Euronext Amsterdam","USD","USD","1","Financial Services","Asset Management","Finance","1143800064","USD","2026-09-04","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","older-cap","Market-cap source snapshot is over five calendar days old; see source date.","","501","https://finance.yahoo.com/quote/TFG.AS/","https://finance.yahoo.com/quote/TFG.AS/","https://finance.yahoo.com/quote/TFG.AS/","https://finance.yahoo.com/quote/TFG.AS/",""
"TEXF.BR","Texaf S.A.","TEXAF","TEXF","Euronext Brussels","EUR","EUR","1","Real Estate","Real Estate Services","Finance","137860000","EUR","2026-09-16","retrieval date of daily exchange list","rounded source display","2026-09-16","company matched to selected lookup listing","rounded-cap","","","502","https://stockanalysis.com/quote/ebr/TEXF/","https://query2.finance.yahoo.com/v8/finance/chart/TEXF.BR?interval=1d&range=1d","https://query2.finance.yahoo.com/v1/finance/search?q=TEXAF&quotesCount=8&newsCount=0","https://stockanalysis.com/list/euronext-brussels/",""
"TXN","Texas Instruments Incorporated","Texas Instruments","TXN","Nasdaq Global Select Market","USD","USD","1","Technology","Semiconductors","IT","238056292352","USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","503","https://finance.yahoo.com/quote/TXN/","https://finance.yahoo.com/quote/TXN/","https://finance.yahoo.com/quote/TXN/","https://finance.yahoo.com/quote/TXN/",""
