"challenge_name","company_name","ticker","exchange","yahoo_symbol","quote_url","quote_currency","sector","industry","market_cap","market_cap_currency","market_cap_source_date","market_cap_date_basis","market_cap_precision","data_retrieved_date","challenge_sector","listing_match_status","notes","alternative_yahoo_symbols","listing_source_url","classification_source_url","market_cap_source_url","supplemental_source_url"
"IDEXX Laboratories","IDEXX Laboratories, Inc.","IDXX","Nasdaq Global Select Market","IDXX","https://finance.yahoo.com/quote/IDXX/","USD","Healthcare","Diagnostics & Research",40463556608,"USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","Soins de santé","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/IDXX/","https://finance.yahoo.com/quote/IDXX/","https://finance.yahoo.com/quote/IDXX/",""
"Illinois Tool Works","Illinois Tool Works Inc.","ITW","NYSE","ITW","https://finance.yahoo.com/quote/ITW/","USD","Industrials","Specialty Industrial Machinery",76135579648,"USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","Industrie","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/ITW/","https://query2.finance.yahoo.com/v1/finance/search?q=Illinois+Tool+Works&quotesCount=8&newsCount=0","https://finance.yahoo.com/quote/ITW/",""
"IMCD","IMCD N.V.","IMCD","Euronext Amsterdam","IMCD.AS","https://stockanalysis.com/quote/ams/IMCD/","EUR","Basic Materials","Specialty Chemicals",5640000000,"EUR","2026-09-16","retrieval date of daily exchange list","rounded source display","2026-09-16","Matériaux","company matched to selected lookup listing","","","https://query2.finance.yahoo.com/v8/finance/chart/IMCD.AS?interval=1d&range=1d","https://query2.finance.yahoo.com/v1/finance/search?q=IMCD&quotesCount=8&newsCount=0","https://stockanalysis.com/list/euronext-amsterdam/",""
"IMMOBEL","Immobel SA","IMMO","Euronext Brussels","IMMO.BR","https://stockanalysis.com/quote/ebr/IMMO/","EUR","Real Estate","Real Estate—Development",197910000,"EUR","2026-09-16","retrieval date of daily exchange list","rounded source display","2026-09-16","Immobilier","company matched to selected lookup listing","","","https://query2.finance.yahoo.com/v8/finance/chart/IMMO.BR?interval=1d&range=1d","https://query2.finance.yahoo.com/v1/finance/search?q=IMMOBEL&quotesCount=8&newsCount=0","https://stockanalysis.com/list/euronext-brussels/",""
"Incyte Corp","Incyte Corporation","INCY","Nasdaq Global Select Market","INCY","https://finance.yahoo.com/quote/INCY/","USD","Healthcare","Biotechnology",25286543360,"USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","Soins de santé","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/INCY/","https://finance.yahoo.com/quote/INCY/","https://finance.yahoo.com/quote/INCY/",""
"INDUSTRIA DE DISENO TEXTIL SA","Industria de Diseño Textil, S.A.","ITX","Bolsa de Madrid","ITX.MC","https://finance.yahoo.com/quote/ITX.MC/","EUR","Consumer Cyclical","Apparel Retail",164410179584,"EUR","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","Consommation discrétionnaire","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/ITX.MC/","https://query2.finance.yahoo.com/v1/finance/search?q=ITX.MC&quotesCount=3&newsCount=0","https://finance.yahoo.com/quote/ITX.MC/",""
"INFINEON TECHNOLOGIES AG","Infineon Technologies AG","IFX","Xetra","IFX.DE","https://finance.yahoo.com/quote/IFX.DE/","EUR","Technology","Semiconductors",71472480256,"EUR","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","IT","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/IFX.DE/","https://finance.yahoo.com/quote/IFX.DE/","https://finance.yahoo.com/quote/IFX.DE/",""
"ING GROEP N.V.","ING Groep N.V.","INGA","Euronext Amsterdam","INGA.AS","https://finance.yahoo.com/quote/INGA.AS/","EUR","Financial Services","Banks—Diversified",91027644416,"EUR","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","Finance","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/INGA.AS/","https://query2.finance.yahoo.com/v1/finance/search?q=ING+GROEP+N.V.&quotesCount=8&newsCount=0","https://finance.yahoo.com/quote/INGA.AS/",""
"INPOST S.A.","InPost S.A.","INPST","Euronext Amsterdam","INPST.AS","https://finance.yahoo.com/quote/INPST.AS/","EUR","Industrials","Integrated Freight & Logistics",7773762560,"EUR","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","Industrie","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/INPST.AS/","https://finance.yahoo.com/quote/INPST.AS/","https://finance.yahoo.com/quote/INPST.AS/",""
"Intel Corp","Intel Corporation","INTC","Nasdaq Global Select Market","INTC","https://finance.yahoo.com/quote/INTC/","USD","Technology","Semiconductors",534160932864,"USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","IT","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/INTC/","https://finance.yahoo.com/quote/INTC/","https://finance.yahoo.com/quote/INTC/",""
